f1,rank,title,link,image_url,describe,author,view,reply,favorite,coin,share
0,1,【S12全球总决赛】小组赛·附加赛 10月15日 JDG vs DK,https://b23.tv/BV1HK411Q7w5,http://i1.hdslb.com/bfs/archive/348b5c82abbe092ed15184db6a642565160db909.jpg,【S12全球总决赛】小组赛·附加赛 10月15日 JDG vs DK,哔哩哔哩英雄联盟赛事,751843,5024,1295,3205,1058
1,2,什么叫国产战争片天花板！《特级英雄黄继光》硬核影评,https://b23.tv/BV17D4y1C7W5,http://i1.hdslb.com/bfs/archive/f831d5441d36599aa94dd675023b51bdafe1bf56.jpg,"Staff
总策划：花岗岩
总顾问：星海论坛Suit
总监制：花家小可爱
文案：花岗岩、星海论坛Suit、花家小可爱
配音：花岗岩
制作：花家小可爱、花岗岩
资料：
15军政治部编《凯歌百代》《志愿军一日》第二编
15军政治部编《战斗在上甘岭》
空军政治部编《革命英雄谱4•志愿军赞》
《上甘岭战役中的山地坚固阵地 防御阵地参考资料》
《我的父辈在抗美援朝中》
上甘岭战役，志愿军老兵采访资料若干
上甘岭战役，美军进攻参考资料若干
空军“黄继光英雄连”采访资料若干
鸣谢：《特级英雄黄继光》制作组",花岗岩工作室,2181163,4282,63040,272170,16941
2,3,龙族《IVORY TOWER》完整版翻唱,https://b23.tv/BV1rG411j7u9,http://i1.hdslb.com/bfs/archive/23fdbfe11f930ffe42b8b68feee007ee51b38db3.jpg,"它来了它来了！
让大家久等啦，这个视频也着实花了我不少的时间
因为录长视频我总是容易紧张，一紧张就老是出错T.T
磕磕绊绊把它录好了，不足之处希望大家多多包涵～",任舒瞳,592658,2049,38935,46671,6284
3,4,对话河北首富,https://b23.tv/BV1X44y1f7NE,http://i0.hdslb.com/bfs/archive/126b8254b74bdc75da8dc0ff22f21f5953f4e326.jpg,111,俏佳人xxx,818445,1561,10871,15753,4879
4,5,天生绝呸！,https://b23.tv/BV1ie4y1E7u7,http://i0.hdslb.com/bfs/archive/f1b4068f24d7c016574d5032e48a2bbbf6aa3f02.jpg,"希望你喜欢这次的视频，这次玩的游戏叫做《天生绝配》。
游戏的规则我们进行了一定改编。
游戏的规则非常简单：
所有人两两组队，每人发到一套一模一样的牌。
裁判会给出一个词语，
每人挑选五张和这个词语有关联的牌，按强弱顺序排好。
所有人都摆好之后，依次开牌，跟你的队友进行匹配。
图案一致，获得一分。如果顺序也一致，额外再获得一分。
数轮游戏过后，分高的一队获胜。
记得三连！",高斯Goh,998058,2735,18816,38867,2569
5,6,狗头吧的老哥太谨慎了！,https://b23.tv/BV14e4y1S7AG,http://i2.hdslb.com/bfs/archive/9606fe80fb41c83cd1f3318fd3d8fde14c51dd4f.jpg,-,佐神-核弹流佐伊,628568,707,1278,1116,930
6,7,【C菌】彻底超出了人类认知的另类恐怖游戏《Scorn/蔑视》实况合集｜第一集,https://b23.tv/BV12N4y1c72L,http://i2.hdslb.com/bfs/archive/9631cefa4249bb22363b781f1599e1daf1e7581d.jpg,"五年前在众筹网站Kickstarter上亮相的小众恐怖游戏，今天终于发售。言语无法叙述这是个啥游戏、既真实又虚幻的世界...你认为这款游戏的剧情是怎样的呢？欢迎评论区分享！
本实况每天更新，感谢收看，喜欢请加收藏！感谢！
我的微博：渗透之C菌",渗透之C君,715079,1819,21001,20191,5844
7,8,电 子 私 教,https://b23.tv/BV1cd4y1q71T,http://i0.hdslb.com/bfs/archive/374eb63ab00a0b62d59d644596ec745f3692173b.jpg,伴奏：飘移,龙大人不喷火,763241,404,2880,594,742
8,9,这是我见过最为诡异，无法形容的游戏！（蔑视）〖游戏不止〗,https://b23.tv/BV1we411L7fC,http://i2.hdslb.com/bfs/archive/0ad5f39beb5548186df19f80db3aa396307b4d30.jpg,"本期讲述最近新出的《蔑视》（SCORN），讲述游戏的诡异景象，玩法和世界观。
=================================
【BGM】
Andrew Prahlow - 05 - Castaways
Andrew Prahlow - 09 - The Uncertainty Principle
Andrew Prahlow - 11 - 22 Minutes
Andrew Prahlow - Eternal Halls
Ben Prunty - The Void
Bobby Taho",森纳映画,843278,1976,14863,15221,7830
9,10,无处可逃，23位超毕业角色秒杀统辖矩阵,https://b23.tv/BV1w14y1E7BX,http://i0.hdslb.com/bfs/archive/09392a0e9985f81c67c73569d8d30b64b0bee5db.jpg,封面来自P站大神：Nid417,早早柚犯困,527419,922,22031,20663,5108
10,11,还有这种事？,https://b23.tv/BV1tG411E7jy,http://i1.hdslb.com/bfs/archive/686439b6bbd35c53d7043875d97a1bd421a6bccc.jpg,好多人啊~,阿星and阿奇,2993437,288,22796,2071,466
11,12,“我将无我，不负人民”，是不变的初心，更是坚定的行动！,https://b23.tv/BV1ye4y1q79S,http://i0.hdslb.com/bfs/archive/1c64ab9bc42efc92698611a6e6c10d1f39448fab.jpg,,人民日报,1004785,101,19458,38383,18784
12,13,好洗脑的耐久,https://b23.tv/BV1AW4y1J7aE,http://i0.hdslb.com/bfs/archive/69e11cbd4bc6e449077e0097d5091429ac451c94.jpg,,不凉白开,793735,520,13321,3669,1416
13,14,你怎么连话都说不清楚,https://b23.tv/BV11P411771B,http://i1.hdslb.com/bfs/archive/e68c148db32ac31eacae7d020047cf8c4555c285.jpg,我来炒个冷饭heihei,jamboochuuu,444560,601,4114,1687,778
14,15,当你拍短视频拍着玩却不小心火了,https://b23.tv/BV1gG41177Bj,http://i1.hdslb.com/bfs/archive/fa2f41ef2ee7e1b44d4da2304375dbe7091a47a1.jpg,么让人唠一辈子,星有野,1381644,1766,12560,23834,3777
15,16,逐帧绘制1992年版《莉可丽丝》，目前AI绘画也无法实现的技术力！,https://b23.tv/BV1AP411E7jM,http://i2.hdslb.com/bfs/archive/aef8bb520a67a1b6db5c1306b35ef9dcd7e355c4.jpg,"历时一个月逐帧重新绘制，加上小时候在电视上看引进日本动画的元素和滤镜特效，仿佛又回到下课准时回家看动画的年代。虽然相比真实的90年代画风还有些许差距，但相比第一次做90年代视频（BV1ca411C7CQ）进步巨大且味更浓。
制作不易，你的一键三连或充电，哪怕只是点个赞也是让我继续创作下去的原动力！",可乐神提供,262425,529,7271,11514,2698
16,17,不懂英语如何刺探英国情报？【硬核狠人40】,https://b23.tv/BV1R44y1f7Yv,http://i1.hdslb.com/bfs/archive/d76155b3c9d53787338464aebfd62a469317a3e5.jpg,"本篇为硬核狠人之艾丽萨.巴兹纳。

参考资料：
巴兹纳回忆录《我是西塞罗》
马克·西蒙斯2014年出版《西塞罗特工：希特勒最好的间谍》
理查德·怀斯1999年出版《西塞罗间谍事件：二战中德国获取英国机密》
杰尔·韦斯特1985年出版《谎言的线索：二战间谍神话》
亚当·乐博2000年出版《幸存的希特勒：第三帝国的选择、腐败和妥协》
莫伊奇兹的《西塞罗行动》",小约翰可汗,1441323,2363,20094,55735,3969
17,18,马丽！露出鸡脚了吧！,https://b23.tv/BV1He4y1q7NC,http://i2.hdslb.com/bfs/archive/5ceeaf4506cbe701572f3e91ac921efc7d0d46f1.jpg,"电影：羞羞的铁拳  
有沈腾的地方就有我的鬼畜
BGM自制",倒悬的橘子,861259,518,4964,8348,1537
18,19,【平民之友31】妮露只需配3个白嫖4星就能起飞？真·平民之友原来是她！,https://b23.tv/BV1MD4y1C7nc,http://i0.hdslb.com/bfs/archive/efcca009ba63b44e51fdd5193e9abb314ebb9646.jpg,妮露实在是真平民之友……,甜甜叫花鸡,374840,4235,2796,3602,3491
19,20,【Faye詹雯婷x张远】跟着《诀爱》再回这个热烈的夏天吧~,https://b23.tv/BV1CR4y1R76K,http://i0.hdslb.com/bfs/archive/8dc78676ed743f2053ecd7056db8fa632ec0311b.jpg,爱意随歌起，情深词尽意，很高兴《诀爱》这首作品可以在这个夏天为大家留下诸多浪漫的记忆。也很感谢这次可以和张远一起共同完成美好的合作舞台，也希望能带大家重回这个热烈的夏天，愿这首歌所讲述的故事里那些刻骨铭心的山盟海誓，可以再次给大家带来感动。,Faye-詹雯婷,182074,960,5879,9617,3068
