,rank,title,link,image_url,describe,heat
0,1,JDG战胜DK小组第一晋级八强,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560696&topic_name=JDG%E6%88%98%E8%83%9CDK%E5%B0%8F%E7%BB%84%E7%AC%AC%E4%B8%80%E6%99%8B%E7%BA%A7%E5%85%AB%E5%BC%BA,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=9e0e99216a2eb938ec3829b2b35fbd01/c8177f3e6709c93dba269437da3df8dcd000541e.jpg?tbpicau=2022-10-17-05_1fad82f0fe0ca335353434bdb948667e,【JDG小组第一晋级八强】恭喜JDG赢下比赛，以小组头名晋级八强！！！,111.6W实时讨论
1,2,如何评价369的剑魔？,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560699&topic_name=%E5%A6%82%E4%BD%95%E8%AF%84%E4%BB%B7369%E7%9A%84%E5%89%91%E9%AD%94%EF%BC%9F,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=9f958a77ac50352ab1347648357ec3c6/2cf5e0fe9925bc31f90684581bdf8db1ca137093.jpg?tbpicau=2022-10-17-05_2e91a4f12f79144e917125aa3def1ec9,【S12小组赛第六日：JDG vs DK】JDG对战DK，28分钟，JDG一波团战一换四，如何评价369的剑魔？,110.7W实时讨论
2,3,SNKRS公告 穿越,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560701&topic_name=SNKRS%E5%85%AC%E5%91%8A%20%E7%A9%BF%E8%B6%8A,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=526d4cef0434970a4726436ff3f7e9fc/d01373f082025aaf5eb1fa0bbeedab64024f1a6b.jpg?tbpicau=2022-10-17-05_daf4e15deb0ac0e5406eb7ee65dc2b6d,10月15日上午10点，倒勾3.0在SNKRS抽签发售，结果还没抽奖就一直显示没库存。官方发的公告显示的日期还是21年3月...走点心吧。,82.6W实时讨论
3,4,RNG选手身体状态,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560727&topic_name=RNG%E9%80%89%E6%89%8B%E8%BA%AB%E4%BD%93%E7%8A%B6%E6%80%81,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=dc4d18f109086e066afd6c0b643543c0/c8ea15ce36d3d539d2d48b037f87e950342ab001.jpg?tbpicau=2022-10-17-05_fe11a5067c9856f614099951ebe1b573,Rstar师兄 ：确诊队员和管理前几日确实有比较严重的身体反应 伴有反复发烧 四肢乏力 全身酸痛等症状甚至有较强烈的无力感。加油加油，赶快好...,67.1W实时讨论
4,5,什么行业可以让普通人翻身？,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560691&topic_name=%E4%BB%80%E4%B9%88%E8%A1%8C%E4%B8%9A%E5%8F%AF%E4%BB%A5%E8%AE%A9%E6%99%AE%E9%80%9A%E4%BA%BA%E7%BF%BB%E8%BA%AB%EF%BC%9F,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=96e529fa5cd8bc3ec65d558ae4b69e2a/9f510fb30f2442a7235761659443ad4bd0130291.jpg?tbpicau=2022-10-17-05_6d9c0f79eb9e325d110e88255c8917b2,近几年以来我国的发展逐渐加快，总体经济水平实现了飞速的提升，产业市场和社会环境也发生了很大的变化。一起和吧友探寻可以让普通人翻身的行业吧！,63W实时讨论
5,6,哈利波特海格扮演者去世,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560697&topic_name=%E5%93%88%E5%88%A9%E6%B3%A2%E7%89%B9%E6%B5%B7%E6%A0%BC%E6%89%AE%E6%BC%94%E8%80%85%E5%8E%BB%E4%B8%96,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=9fe528b4aef81a4c2667bf89b117586d/9a504fc2d5628535760b48e1d5ef76c6a6ef6303.jpg?tbpicau=2022-10-17-05_54ad10cd31c0e04921dfc8cc443f1984,据外媒，《哈利·波特》鲁伯·海格扮演者罗彼·考特拉尼去世，享年72岁。,56.4W实时讨论
6,7,世界杯之后梅西何去何从,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560698&topic_name=%E4%B8%96%E7%95%8C%E6%9D%AF%E4%B9%8B%E5%90%8E%E6%A2%85%E8%A5%BF%E4%BD%95%E5%8E%BB%E4%BD%95%E4%BB%8E,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=ba34e3b3bef2b211e47bd60eacbd5d0c/35a85edf8db1cb13e358b9d39854564e92584b39.jpg?tbpicau=2022-10-17-05_cfc34fc615aa4d3958968fc26e59b54d,梅西的世界杯之路将走到尽头。这名阿根廷偶像宣布，下个月在卡塔尔举行的比赛将是他最后一次参加世界杯。,49.4W实时讨论
7,8,“你才是真正的大人物”,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8545122&topic_name=%E2%80%9C%E4%BD%A0%E6%89%8D%E6%98%AF%E7%9C%9F%E6%AD%A3%E7%9A%84%E5%A4%A7%E4%BA%BA%E7%89%A9%E2%80%9D,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=7e4277da2559252da3424e4452a63b0f/e61190ef76c6a7ef69a03de6b8faaf51f2de6668.jpg?tbpicau=2022-10-17-05_428c5852f50e6c05d2b1c42758f39ee7,喜欢赛博朋克的卖家老哥去世后，他的母亲怀着对儿子的思念开始去做儿子生前最喜欢做的事，因为她相信未来他们将在另一个世界相遇。从3d打印到模型喷...,35W实时讨论
8,9,一胜五负G2遗憾告别S12,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560700&topic_name=%E4%B8%80%E8%83%9C%E4%BA%94%E8%B4%9FG2%E9%81%97%E6%86%BE%E5%91%8A%E5%88%ABS12,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=176447f3d48fa0ec7f92374d40aa61da/cb8065380cd79123e26911b4e8345982b3b78061.jpg?tbpicau=2022-10-17-05_1946f17518e802d14d0dae65526ba490,随着JDG战胜DK以小组第一晋级八强，G2已确定无缘S12世界赛后续赛程，包括此前的CSGO分部无缘里约Major。吧友们如何评价G2今年各...,30.3W实时讨论
9,10,完成这幅画证明你不会被AI取代,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8544741&topic_name=%E5%AE%8C%E6%88%90%E8%BF%99%E5%B9%85%E7%94%BB%E8%AF%81%E6%98%8E%E4%BD%A0%E4%B8%8D%E4%BC%9A%E8%A2%ABAI%E5%8F%96%E4%BB%A3,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=060938d2370e0cf3a0a21dbb6c7bca2b/a2cc7cd98d1001e9af5a81cffd0e7bec55e79788.jpg?tbpicau=2022-10-17-05_2fe8ba7dbfe9e4fe85c71e0a80d37d5a,横扫AI，做回自己！来试试完成这副画，证明你不会被AI取代。看看你们的。,29.4W实时讨论
